Šifra;Naziv;Župnija;Poštanski Broj;Mjesto;Adresa;Tip Ustanove;Osnivač;Ravnatelj;Telefon;Faks;e Pošta;Web
08-278-001;Osnovna škola JELENJE - DRAŽICE;Primorsko-goranska županija;51218;Dražice;Školska 53;Osnovna škola;Primorsko-goranska županija;Dejana Paškvan-Žeželj;051/296-036, 051/297-069;051/296-107;skola@os-drazice.skole.hr;
08-279-001;Osnovna škola ˝Milan Brozović˝;Primorsko-goranska županija;51215;Kastav;Skalini Istarskog tabora 3;Osnovna škola, Umjetnička škola;Primorsko-goranska županija;Sandra Krpan;051/691-308, 051/691-308, 051/691-393;;os-kastav@os-mbrozovic-kastav.skole.hr;
08-280-001;Osnovna škola Klana;Primorsko-goranska županija;51217;Klana;ZATREP 5;Osnovna škola;Primorsko-goranska županija;Jelena Grbčić Samardžić;051/808-279, 098/797102;051/808-211;skola@os-klana.skole.hr;os-klana.skole.hr
08-281-001;Osnovna škola SVETI MATEJ;Primorsko-goranska županija;51216;Viškovo;Vozišće 13;Osnovna škola;Primorsko-Goranska županija;Josip Crnić;051/256-226, 051/257-782;051/503-585;skola@os-sveti-matej-viskovo.skole.hr;www.ossvetimatej.hr
08-282-001;Osnovna škola Kraljevica;Primorsko-goranska županija;51262;Kraljevica;STROSSMAYEROVA 35;Osnovna škola;Primorsko-goranska županija;Davor Juriša;051/281-212, 051/281-212, 051/282-006;051/283-053;ured@os-kraljevica.skole.hr;http://www.os-kraljevica.skole.hr/
08-289-001;Osnovna škola Ivanke Trohar;Primorsko-goranska županija;51322;Fužine;Breg 124a;Osnovna škola;Primorsko-goranska županija;Jasna Štimac;051/835-167, 051/ 830-018;051/835-167;ured@os-itrohar-fuzine.skole.hr;http://os-itrohar-fuzine.skole.hr/
08-290-001;OSNOVNA ŠKOLA VIKTORA CARA EMINA;Primorsko-goranska županija;51415;Lovran;9. RUJNA 4;Osnovna škola;Primorsko-goranska županija;Iva Erceg;051 291 133;051 291 133;ured@os-vcemina-lovran.skole.hr;os-vcemina-lovran.skole.hr/
08-292-001;OSNOVNA ŠKOLA MARIA MARTINOLIĆA;Primorsko-goranska županija;51550;Mali Lošinj;OMLADINSKA 11;Osnovna škola, Umjetnička škola;Primorsko-goranska županija;Olivela Franko;051/231-153, 233-305;051/232-652;os.maria.martinolica@os-mmartinolica.skole.hr;www.os-mmartinolica-mali-losinj.skole.hr
08-293-001;OSNOVNA ŠKOLA Dr. ANDRIJA MOHOROVIČIĆ;Primorsko-goranska županija;51211;Matulji;Šetalište Drage Gervaisa 2;Osnovna škola;Primorsko-goranska županija;Astrid Massari;051/274-120, 051/274-120, 051/277-064;051/274-121;osamohorovicic@os-amohorovicica-matulji.skole.hr;www.OŠ Dr. Andrija Mohorovičić Matulji
08-293-002;OSNOVNA ŠKOLA DRAGO GERVAIS;Primorsko-goranska županija;51213;Jurdani;Brešca 6;Osnovna škola;Primorsko-goranska županija;Dijana Valentin;051/279-229, 051/279-229 int. 1, 051/279-890, 051/279-684;;osbresca@os-dgervais-jurdani.skole.hr;www.os-dgervais-jurdani.skole.hr
08-294-001;Osnovna škola Ivana Mažuranića;Primorsko-goranska županija;51250;Novi Vinodolski;Lokvica 2;Osnovna škola, Umjetnička škola;Primorsko-goranska županija;Boris Turjak;051/244-465, 051/244-465, 051/244-475;051/244-475, 051/244-465;skola@osivanamazuranica.hr;
08-295-001;Osnovna škola dr. Josipa Pančića Bribir;Primorsko-goranska županija;51253;Bribir;KIČERI BB;Osnovna škola;Primorsko-goranska županija;Goran Matić;051/248-113;051/248-113;skola@os-jpancica-bribir.skole.hr;os-jpancica-bribir.skole.hr
08-295-002;Osnovna škola Jurja Klovića Tribalj;Primorsko-goranska županija;51243;Tribalj;TRIBALJ 21;Osnovna škola;Primorsko-goranska županija;Vilma Renate Car Katnić;051/798-491, 051/798-491, 051/798-491, 051/798-491;051/798-491;skola@os-jklovica-tribalj.skole.hr;os-jklovica-tribalj.skole.hr
08-296-001;Osnovna škola Skrad;Primorsko-goranska županija;51311;Skrad;ŠKOLSKA 2;Osnovna škola;Primorsko-goranska županija;Vjekoslav Pintar;051/810-695, 051/820-016;051/810-695;os-skrad@os-skrad.skole.hr, vjekoslav.pintar@skole.hr;www.os-skrad.skole.hr
08-297-001;Osnovna škola Dr. Branimira Markovića;Primorsko-goranska županija;51314;Ravna Gora;IVANA MAŽURANIĆA 22;Osnovna škola;Primorsko-goranska županija;Nataša Možgon Kauzlarić;051/818-438, 051/818-438, 051 818-770;051/818-438;ured@os-bmarkovica-ravna-gora.skole.hr;
08-298-001;Osnovna škola Mrkopalj;Primorsko-goranska županija;51315;Mrkopalj;ŠKOLSKA 2;Osnovna škola;Primorsko-goranska županija;Dragutin Crnić;051/833-172, 051/830-393;051/830-393;mrkopalj@os-mrkopalj.skole.hr, os.mrkopalj@inet.hr;
08-299-001;Osnovna škola Brod Moravice;Primorsko-goranska županija;51312;Brod Moravice;ŠKOLSKA 3;Osnovna škola;Primorsko-goranska županija;Duško Zatezalo;051/817-135, 051/817-135, 051/508-002;051/817-135;skola@os-brod-moravice.skole.hr;http://web2.os-brod-moravice.skole.hr/
09-015-001;OSNOVNA ŠKOLA DONJI LAPAC;Ličko-senjska županija;53250;Donji Lapac;STOJANA MATIĆA 18;Osnovna škola;Ličko-senjska županija;Marko Matić;053/765-001, 053/765-895;053/765-800;skola@os-donji-lapac.skole.hr;http://os-donji-lapac.skole.hr/
09-026-001;OSNOVNA ŠKOLA DR. JURE TURIĆA;Ličko-senjska županija;53000;Gospić;Miroslava Kraljevića 15;Osnovna škola, Umjetnička škola;Grad Gospić;Ivica Radošević;053/658-988, 053 658 985;053/572-003;ured@os-jturic-gospic.skole.hr;http://www.os-gospic.hr/
09-026-003;Osnovna škola Dr. Franje Tuđmana Lički Osik;Ličko-senjska županija;53201;Lički Osik;RIJEČKA 2;Osnovna škola;GRAD GOSPIĆ;Antonio Milinković;053/639-220, 053/639-202;053/672-242;ivana.dapic@skole.hr, ivanka.vojvodic@skole.hr, ured@os-licki-osik.skole.hr;os-licki-osik.skole.hr
09-061-001;OSNOVNA ŠKOLA ZRINSKIH I FRANKOPANA;Ličko-senjska županija;53220;Otočac;KRALJA ZVONIMIRA 15;Osnovna škola;Ličko-senjska županija;Jasminka Devčić;053/771-019, e-mail adresa: tajnistvo@os-zrinskihifrankopana-otocac.skole.hr, 053/772-411, 053/771-018, 053/773-562, 053/746-088;771-019;ured@os-zrinskihifrankopana-otocac.skole.hr;www. os-zrinskihifrankopana-otocac.skole.hr
09-074-001;OSNOVNA ŠKOLA SILVIJA STRAHIMIRA KRANJČEVIĆA SENJ;Ličko-senjska županija;53270;Senj;SILVIJA STRAHIMIRA KRANJČEVIĆA 1;Osnovna škola, Umjetnička škola;Ličko-senjska županija;Rosanda Bilović;053/881-183, 053/882-944;053/881-183;os-ss.kranjcevica@gs.t-com.hr, tajnistvo@os-sskranjcevica-senj.skole.hr;os-sskranjcevica-senj.skole.hr
09-300-001;OSNOVNA ŠKOLA LUKE PERKOVIĆA BRINJE;Ličko-senjska županija;53260;Brinje;FRANKOPANSKA 44;Osnovna škola;Ličko-senjska županija;Ivana Rajković;053/700-721, 053/701-202;053/701-201;ured@os-lperkovica-brinje.skole.hr;os-lperkovica-brinje.skole.hr
09-301-001;OSNOVNA ŠKOLA KARLOBAG;Ličko-senjska županija;53288;Karlobag;VLADIMIRA NAZORA 11;Osnovna škola;Ličko-senjska županija;Ana-Maria Devčić;053/694-910, 053/694-019;053/694-910;tajnistvo@os-karlobag.skole.hr;
09-302-001;OSNOVNA ŠKOLA PERUŠIĆ;Ličko-senjska županija;53202;Perušić;HRVATSKE MLADEŽI 2;Osnovna škola;Ličko-senjska županija;Snježana Milković;053/679-005, 053/680-208;053/679-005;ured@os-perusic.skole.hr;
09-026-005;OSNOVNA ŠKOLA DR. ANTE STARČEVIĆ PAZARIŠTE-KLANAC;Ličko-senjska županija;53212;Klanac;KLANAC 3;Osnovna škola;GRAD GOSPIĆ;Elizabeta Starčević;053/686-002, 053/686-002;053/686-600;ured@os-astarcevic-klanac.skole.hr;
09-302-003;OSNOVNA ŠKOLA ANŽ FRANKOPAN KOSINJ;Ličko-senjska županija;53203;Gornji Kosinj;Gornji Kosinj 49;Osnovna škola;Ličko-senjska županija;Zrinka Vukelić;053/671-006;053/671-006;ured@os-afrankopan-kosinj.skole.hr;
09-304-001;Osnovna škola A. G. Matoša Novalja;Ličko-senjska županija;53291;Novalja;Zeleni put 1;Osnovna škola;Ličko-senjska županija;Aleksij Škunca;053/661-337, 053/663-247;053/663-246;ured@os-agmatosa-novalja.skole.hr;
09-379-001;Osnovna škola Milan Sekulić Lovinac;Ličko-senjska županija;53244;Lovinac;Domovinski trg 2;Osnovna škola;Ličko-senjska županija;Marija Tonković;053/681-011, 053/681-600;053/681-011;os-lovinac@post.t-com.hr, os-mile.pavicic-lovinac@gs.t-com.hr, ured@os-lovinac.skole.hr;http://os-lovinac.skole.hr/
09-380-001;Osnovna škola KRALJA TOMISLAVA;Ličko-senjska županija;53234;Udbina;KATEDRALSKA 5;Osnovna škola;Ličko-senjska županija;Mirko Dragičević;053/778-111, 053/778-600;053/778-600;os-kralja-tomislava@gs.htnet.hr, ured@os-kralja-tomislava-udbina.skole.hr;
09-455-001;OSNOVNA ŠKOLA PLITVIČKA JEZERA;Ličko-senjska županija;53231;Plitvička Jezera;MUKINJE 30;Osnovna škola;Ličko-senjska županija;Milan Podnar;053/774-707, 053/774-055, 053/774-707;053/774-707;ured@os-plitvicka-jezera.skole.hr;
09-455-002;Osnovna škola dr. Franje Tuđmana;Ličko-senjska županija;53230;Korenica;Riječka 2;Osnovna škola;Ličko-senjska županija;Dražena Aračić;053/776-512, 053/756323, 053/776421;053/776-512, 053/756323;korenica@os-korenica.skole.hr;
10-059-001;OSNOVNA ŠKOLA IVANE BRLIĆ-MAŽURANIĆ ORAHOVICA;Virovitičko-podravska županija;33515;Orahovica;TRG TINA UJEVIĆA 1;Osnovna škola;Virovitičko-podravska županija;Maja Škraba;673-485, 400-092, 673-483, 400-093;400-092;ured@os-ibmazuranic-orahovica.skole.hr;www.os-ibmazuranic-orahovica.skole.hr
10-067-001;OSNOVNA ŠKOLA EUGENA KUMIČIĆA;Virovitičko-podravska županija;33520;Slatina;Dobriše Cesarića 24;Osnovna škola;Virovitičko-podravska županija;Božica Majhen;551-213, 552-307, 033 400085;;os-eugena.kumicica@vt.t-com.hr, os-slatina-001@os-ekumicica-slatina.skole.hr;www.os-ekumicica-slatina.skole.hr
10-067-002;OSNOVNA ŠKOLA JOSIPA KOZARCA;Virovitičko-podravska županija;33520;Slatina;NIKOLE ŠUBIĆA ZRINSKOG 2;Osnovna škola;Virovitičko-podravska županija;Ksenija Vujanović-Juras;551-214, 554-080, 400-139;551-214;os-josipa-kozarca@vt.t-com.hr, ured@os-jkozarca-slatina.skole.hr;
10-089-001;OSNOVNA ŠKOLA IVANE BRLIĆ-MAŽURANIĆ VIROVITICA;Virovitičko-podravska županija;33000;Virovitica;TINA UJEVIĆA 18;Osnovna škola;GRAD VIROVITICA;Ivica Tomljanović;033/726-071, 033/628-828;033/726-072;ured@os-ibmazuranic-vt.skole.hr;www.brlici.hr
10-089-002;OSNOVNA ŠKOLA VLADIMIR NAZOR VIROVITICA;Virovitičko-podravska županija;33000;Virovitica;TOME MASARYKA 21;Osnovna škola;GRAD VIROVITICA;Sanjica Samac;033 721 410, 033 800375;033 721070;ured@os-vnazor-vt.skole.hr;www.os-vnazor-vt.skole.hr
10-089-004;CENTAR ZA ODGOJ, OBRAZOVANJE I REHABILITACIJU VIROVITICA;Virovitičko-podravska županija;33000;Virovitica;Nikole Tesle 4;Osnovna škola, Srednja škola;Grad Virovitica;Margarita Kovačević;033/721-854, 033/800-232;033/721-854;tajnistvo@coorvirovitica.hr, ured@coor-virovitica.skole.hr;
10-305-001;OSNOVNA ŠKOLA IVAN GORAN KOVAČIĆ;Virovitičko-podravska županija;33513;Zdenci;ŠKOLSKA 2;Osnovna škola;Virovitičko-podravska županija;Mirjana Buneta-Knežević;033/646-009;033/646-613;ured@os-igkovacic-zdenci.skole.hr;
10-307-001;OSNOVNA ŠKOLA ANTUNA GUSTAVA MATOŠA;Virovitičko-podravska županija;33514;Čačinci;Trg kardinala Franje Kuharića 3;Osnovna škola;Virovitičko-podravska županija;Kristina Krmpotić;033/684-006, 033/684-006;033/684-166;ured@os-agmatosa-cacinci.skole.hr;http://os-agmatosa-cacinci.skole.hr/
10-308-001;OSNOVNA ŠKOLA IVANA GORANA KOVAČIĆA GORNJE BAZJE;Virovitičko-podravska županija;33406;Lukač;GORNJE BAZJE 131;Osnovna škola;Virovitičko-podravska županija;Saša Topić;033/786-150;;tajnistvo@os-igkovacic-gornjebazje.skole.hr;www.os-igkovacic-gornjebazje.skole.hr
10-309-001;OSNOVNA ŠKOLA GRADINA;Virovitičko-podravska županija;33411;Gradina;Trg kralja Zvonimira 9;Osnovna škola;Virovitičko-podravska županija;Ivana Kovač;033/784-159, 033/784-150;033/784-150;ured@os-gradina.skole.hr;www.os-gradina.skole.hr
10-310-001;OSNOVNA ŠKOLA DAVORIN TRSTENJAK ČAĐAVICA;Virovitičko-podravska županija;33523;Čađavica;KOLODVORSKA 1;Osnovna škola;Virovitičko-podravska županija;Ksenija Žunec;033544225, 033544160, 033544200;;ured@os-davorin-trstenjak-cadjavica.skole.hr;http://os-davorin-trstenjak-cadjavica.skole.hr/
10-311-001;OSNOVNA ŠKOLA VLADIMIRA NAZORA;Virovitičko-podravska županija;33518;Nova Bukovica;ZAGREBAČKA 28;Osnovna škola;Virovitičko-podravska županija;Lareta Žubrinić;033/400-396, 033/400-397;;skola@os-vnazora-novabukovica.skole.hr;www.os-vnazora-novabukovica.skole.hr
10-312-001;OSNOVNA ŠKOLA MIKLEUŠ;Virovitičko-podravska županija;33517;Mikleuš;Školska 13;Osnovna škola;Virovitičko-podravska županija;Dragan Kraljik;033/563-025, 033/563-025, 033/400-297, 033/400-298;033/563-025;ured@os-mikleus.skole.hr;
10-314-001;OSNOVNA ŠKOLA VOĆIN;Virovitičko-podravska županija;33522;Voćin;TRG GOSPE VOĆINSKE 2;Osnovna škola;Virovitičko-podravska županija;Ines Gužvić;033/565-124, 033/565-124, 033/565-324, 033/098/342-824;033/565-124;ravnatelj@os-vocin.skole.hr;
10-315-001;OSNOVNA ŠKOLA SUHOPOLJE;Virovitičko-podravska županija;33410;Suhopolje;Kralja Tomislava 26;Osnovna škola;Virovitičko-podravska županija;Anto Škraba;033/771-048, 033/771-048, 033/771-095, 033-726-133, 033-726-132, 033-726-128, 033-726-129, 033-726-130, 033-726-131;033- 800-747;ured@os-suhopolje.skole.hr;http://os-suhopolje.skole.hr/
10-316-001;OSNOVNA ŠKOLA AUGUST CESAREC;Virovitičko-podravska županija;33404;Špišić Bukovica;VLADIMIRA NAZORA 1;Osnovna škola;Virovitičko-podravska županija;Ivana Simeunović;033/716-033, 033/716-444, 033/716-662;033/716-033;ured@os-acesarec-spisicbukovica.skole.hr;
10-317-001;OSNOVNA ŠKOLA PETRA PRERADOVIĆA;Virovitičko-podravska županija;33405;Pitomača;TRG KRALJA TOMISLAVA 9;Osnovna škola;Virovitičko-podravska županija;Igor Maresić;033/782-212, 033/801-023, 033/782-273, 033/800-240, 033/801-026, 033/800-241;033/801-023;racunovodstvo@os-ppreradovica-pitomaca.skole.hr, os-pitomaca-tajnistvo@vt.t-com.hr, ured@os-ppreradovica-pitomaca.skole.hr;www.os-ppreradovica-pitomaca.skole.hr
11-064-001;OSNOVNA ŠKOLA BRAĆE RADIĆA PAKRAC;Požeško-slavonska županija;34550;Pakrac;BOLNIČKA 55;Osnovna škola;Požeško-slavonska županija;Sanja Delač;034/411-277, 034/411-277, 034/511-020, 034411205, 034411206, 034411245, 034411213;034/511-021;ured@os-brace-radica-pakrac.skole.hr;http://os-brace-radica-pakrac.skole.hr/
11-077-001;Osnovna škola Dobriša Cesarić;Požeško-slavonska županija;34000;Požega;Slavonska 8;Osnovna škola;GRAD POŽEGA;Zvjezdana Krip;034/271 716, 034/314 177, 034/ 314 178, 034/238 255;034/273 655;skola@os-dcesaric-pozega.skole.hr;http://www.os-dcesaric-pozega.skole.hr/
11-077-002;Osnovna škola Julija Kempfa;Požeško-slavonska županija;34000;Požega;Dr.Franje Tuđmana 2;Osnovna škola;GRAD POŽEGA;Kornelija Sabljak;034/273-799, 034/273-799, 034/272-046;034/312-826;skola@os-jkempfa-pozega.skole.hr;http://os-jkempfa-pozega.skole.hr/
11-077-003;OSNOVNA ŠKOLA ANTUNA KANIŽLIĆA;Požeško-slavonska županija;34000;Požega;Antuna Kanižlića 2;Osnovna škola;GRAD POŽEGA;Marija Samardžija;034/312-030, 034/312-030, 034/273-681;034/273-681;akanizlica@os-akanizlica-pozega.skole.hr;http://os-akanizlica-pozega.skole.hr/
11-318-001;Osnovna škola Dragutina Lermana;Požeško-slavonska županija;34322;Brestovac;POŽEŠKA 45;Osnovna škola;Požeško-slavonska županija;Marko Buće;034/241-004, 034/241-004, 034/314-010;;ured@os-dlermana-brestovac.skole.hr;
11-319-001;OSNOVNA ŠKOLA STJEPANA RADIĆA ČAGLIN;Požeško-slavonska županija;34350;Čaglin;VLADIMIRA NAZORA 3;Osnovna škola;Požeško-slavonska županija;Slađana Švajda;034/221-028, 034/221-380, 034/221-078;034/221-381;os-caglin@os-sradica-caglin.skole.hr;
11-320-001;Osnovna škola Mladost;Požeško-slavonska županija;34308;Jakšić;KOLODVORSKA 2;Osnovna škola;Požeško-slavonska županija;Boško Obradović;034/257-134, 034/315-516, 034/315-503, 034/257-335;034/315-080;mladost-jaksic@os-mladost-jaksic.skole.hr;http://os-mladost-jaksic.skole.hr/
11-321-001;Osnovna škola Vilima Korajca;Požeško-slavonska županija;34334;Kaptol;ŠKOLSKA 12;Osnovna škola;Požeško-slavonska županija;Nino Diklić;034/313100, 034/231040, 034/231709;034/231-040;ured@os-vkorajca-kaptol.skole.hr;
11-322-001;Osnovna škola Zdenka Turkovića;Požeško-slavonska županija;34340;Kutjevo;Republike Hrvatske 26;Osnovna škola;Požeško-slavonska županija;Miljenko Crnjac;034/255-088, 034/255-088;034/255-088;os-zdenka-turkovica@po.t-com.hr, tajnistvo@os-zturkovica-kutjevo.skole.hr, ravnatelj@os-zturkovica-kutjevo.skole.hr, tajnistvo@os-zturkovica-kutjevo.skole.hr;
11-323-001;Osnovna škola fra Kaje Adžića Pleternica;Požeško-slavonska županija;34310;Pleternica;ŠKOLSKA 2;Osnovna škola;Požeško-slavonska županija;Hrvoje Galić;034/251-040, 034/251-040, 034/251-048;034/311-024;skola@os-frakajeadzica-pleternica.skole.hr;http://os-frakajeadzica-pleternica.skole.hr/
11-324-001;OSNOVNA ŠKOLA IVAN GORAN KOVAČIĆ;Požeško-slavonska županija;34330;Velika;TRG BANA JOSIPA JELAČIĆA 7;Osnovna škola;Požeško-slavonska županija;Zdravko Barun;034/233-030, 034/313-014;034/313-014;ured@os-igkovacic-velika.skole.hr;os-igkovacic-velika.skole.hr
11-324-002;OSNOVNA ŠKOLA VLADIMIR NAZOR;Požeško-slavonska županija;34330;Trenkovo;MLINSKA 3;Osnovna škola;Požeško-slavonska županija;Josip Prološčić;034/236-023, 034/236-383, 034/236-509, 034/236-386;034/236-023;skola@os-vnazor-trenkovo.skole.hr;www.os-vnazor-trenkovo.skole.hr/
11-327-001;Osnovna škola Lipik;Požeško-slavonska županija;34551;Lipik;ŠKOLSKA 25;Osnovna škola;Požeško-slavonska županija;Klaudija Kovač;034/421-486, 034/422-245, 034/421-486;034/421-486;osnovna.skola.lipik@oslipik.tcloud.hr, ured@os-lipik.skole.hr;http://os-lipik.skole.hr/
11-327-002;OSNOVNA ŠKOLA GRIGORA VITEZA POLJANA;Požeško-slavonska županija;34543;Poljana;Antunovačka 29;Osnovna škola;Požeško-slavonska županija;Tibor Nagy;034/431-403, 034/431-300, 034/431-403;034/431-403;ured@os-gviteza-poljana.skole.hr;
12-051-001;Osnovna škola Ljudevita Gaja Nova Gradiška;Brodsko-posavska županija;35400;Nova Gradiška;LJUDEVITA GAJA 24;Osnovna škola;Brodsko-posavska županija;Blagica Pečnjak;035/331-380, 035/361-612     099/616-3701;035/361-377;ured@os-ljgaja-ng.skole.hr;os-ljgaja-ng.skole.hr
12-051-002;Osnovna škola Mato Lovrak;Brodsko-posavska županija;35400;Nova Gradiška;MAKSIMILIJANA BENKOVIĆA 39;Osnovna škola, Umjetnička škola;Brodsko-posavska županija;Vesna Lončar-Cindrić;035/361-933, 035/363-221, 035/330-106, 035/363-185;035/331-841;ravnatelj@os-mlovrak-ng.skole.hr, ured@os-mlovrak-ng.skole.hr;http://os-mlovrak-ng.skole.hr
12-078-001;OSNOVNA ŠKOLA IVAN GORAN KOVAČIĆ;Brodsko-posavska županija;35000;Slavonski Brod;HUGE BADALIĆA 8;Osnovna škola;Grad Slavonski Brod;Zlatko Bagarić;035/447-314, 035/447-314, 035/409-741;035/409-730;ured@os-igkovacic-sb.skole.hr;os-igkovacic-sb.skole.hr
12-078-002;OSNOVNA ŠKOLA ANTUN MIHANOVIĆ;Brodsko-posavska županija;35000;Slavonski Brod;A. Mihanovića 35;Osnovna škola;Grad Slavonski Brod;Snježana Vinarić;035/444-501, 035/444-501, 035/415-062;035/444-501;antun.mihanovic@os-amihanovic-sb.skole.hr;
12-078-003;OSNOVNA ŠKOLA HUGO BADALIĆ;Brodsko-posavska županija;35000;Slavonski Brod;Borovska 3;Osnovna škola;Grad Slavonski Brod;Irena Čugura Ćerić;035/446-015, 035/446-015, 035/251-329;035/446-015;ured@os-hbadalic-sb.skole.hr;
12-078-004;OSNOVNA ŠKOLA ĐURO PILAR;Brodsko-posavska županija;35000;Slavonski Brod;Vinogorska 1;Osnovna škola;Grad Slavonski Brod;Igor Nikičić;035/465-004, 035/465-059;035/465-030;ured@os-djpilar-sb.skole.hr;http://os-djpilar-sb.skole.hr/
12-078-005;OSNOVNA ŠKOLA BOGOSLAV ŠULEK;Brodsko-posavska županija;35000;Slavonski Brod;ALEJA MIROSLAVA KRLEŽE 2;Osnovna škola;Grad Slavonski Brod;Slavica Đurđević;035/255-505, 035/255-505, 035/255-067, 035/402-910;035/402-912;ured@os-bsulek-sb.skole.hr;http://os-bsulek-sb.skole.hr
12-078-006;OSNOVNA ŠKOLA VLADIMIR NAZOR;Brodsko-posavska županija;35000;Slavonski Brod;FRANJE MARINIĆA 9;Osnovna škola;Grad Slavonski Brod;Nataša Stanković;035/266-469, 035/266-469, 035/266-622, 035/408-770;035/266-469;os-vnazor-sb@os-vnazor-sb.skole.hr;
12-078-007;OSNOVNA ŠKOLA IVANA BRLIĆ-MAŽURANIĆ;Brodsko-posavska županija;35000;Slavonski Brod;ZAGREBAČKA 78;Osnovna škola;Grad Slavonski Brod;Irena Holik;035/272-641, 035/272-361;035/402-920;skola@os-ibmazuranic-sb.skole.hr;http://os-ibmazuranic-sb.skole.hr/
12-078-008;OSNOVNA ŠKOLA BLAŽ TADIJANOVIĆ;Brodsko-posavska županija;35000;Slavonski Brod;PODVINJSKA 25;Osnovna škola;Grad Slavonski Brod;Veronika Čerenko;035/461-496, 035/461-682, 035/461-052, 035/463-100;035/461-682;ured@os-btadijanovic-sb.skole.hr;
12-078-009;OSNOVNA ŠKOLA MILAN AMRUŠ;Brodsko-posavska županija;35000;Slavonski Brod;NIKOLE ZRINSKOG 100;Osnovna škola;Grad Slavonski Brod;Nataša Čošić;035/447-034, 035/447-034, 035/402-900;035/447-034;ured@os-mamrus-sb.skole.hr;http://os-mamrus-sb.skole.hr/
12-078-011;Osnovna škola Dragutin Tadijanović;Brodsko-posavska županija;35000;Slavonski Brod;NASELJE ANDRIJE HEBRANGA 12/1;Osnovna škola;Grad Slavonski Brod;Ana Blagović;035/408-330, 035/408-330, 035/453-014;035/408-331;os.dragutin.tadijanovic@sb.t-com.hr, ured@os-dragutin-tadijanovic-sb.skole.hr;www.os-dragutin-tadijanovic-sb-skole.hr
12-329-001;OSNOVNA ŠKOLA ANTUN MATIJA RELJKOVIĆ;Brodsko-posavska županija;35254;Bebrina;BEBRINA 48B;Osnovna škola;Brodsko-posavska županija;Marija Rosandić;035/433-106, 035/433-901;035/433-900;os-bebrina@os-amreljkovic-bebrina.skole.hr;http://os-amreljkovic-bebrina.skole.hr/
12-331-001;OSNOVNA ŠKOLA VIKTOR CAR EMIN;Brodsko-posavska županija;35214;Donji Andrijevci;Trg kralja Tomislava 8;Osnovna škola;Brodsko-posavska županija;Mirta Degmečić;035/471-102;035/470-160;skola@os-vcemin-donjiandrijevci.skole.hr;http://www.os-vcemin-donjiandrijevci.skole.hr/
12-332-001;OSNOVNA ŠKOLA AUGUSTA ŠENOE;Brodsko-posavska županija;35222;Gundinci;Stjepana Radića 3;Osnovna škola;Brodsko-posavska županija;Đurđica Vuksanović;035/487-020, 035/487-020, 035/487-910;035/487-020;ured@os-asenoe-gundinci.skole.hr;http://os-asenoe-gundinci.skole.hr
12-333-001;OSNOVNA ŠKOLA VJEKOSLAV KLAIĆ;Brodsko-posavska županija;35212;Garčin;KRALJA TOMISLAVA 75;Osnovna škola;Brodsko-posavska županija;Danijela Erić;035/423-990, 035/423-990, 035/423-991, 035/423-992;035/423-990;ured@os-vklaic-garcin.skole.hr;
12-335-001;Osnovna škola Sibinjskih žrtava;Brodsko-posavska županija;35252;Sibinj;108. brigade ZNG 4;Osnovna škola;Brodsko-posavska županija;Josip Šišmanović;035/425-297,426-543, 035/425-297;;tajnistvo@os-sibinjskihzrtava-sibinj.skole.hr, ured@os-sibinjskihzrtava-sibinj.hr;
12-336-001;OSNOVNA ŠKOLA JOSIP KOZARAC SLAVONSKI ŠAMAC;Brodsko-posavska županija;35220;Kruševica;TRG STJEPANA RADIĆA 3;Osnovna škola;Brodsko-posavska županija;Branka Vučić;035/473-106, 035/473-800;035/473-801;ured@os-jkozarac-slavonski-samac.skole.hr;http://os-jkozarac-slavonski-samac.skole.hr/
12-336-002;Osnovna škola Sikirevci;Brodsko-posavska županija;35224;Sikirevci;Ljudevita Gaja 11;Osnovna škola;Brodsko-posavska županija;Terezija Štrljić;035/481-406, 035/481-510, 035/481-511;035/481-406;os-sikirevci@os-sikirevci.skole.hr;os-sikirevci.skole.hr
12-337-001;OSNOVNA ŠKOLA DR. STJEPAN ILIJAŠEVIĆ;Brodsko-posavska županija;35250;Oriovac;FRANKOPANSKA 97;Osnovna škola;Brodsko-posavska županija;Darija Jozić Ratković;035/430-024, 035/430-025, 035/430-026, 035/430-070;035/431-017;racunovodstvo@os-silijasevic-oriovac.skole.hr, tajnistvo@os-silijasevic-oriovac.skole.hr;
12-337-002;OSNOVNA ŠKOLA LJUDEVIT GAJ;Brodsko-posavska županija;35257;Lužani;VLADIMIRA NAZORA 59;Osnovna škola;Brodsko-posavska županija;Petar Delić;035/437-012, 035/436-224;035/436-224;ured@os-ljgaj-luzani.skole.hr;
12-338-001;OSNOVNA ŠKOLA IVAN MEŠTROVIĆ;Brodsko-posavska županija;35210;Vrpolje;BANA JOSIPA JELAČIĆA 50;Osnovna škola;Brodsko-posavska županija;Miroslav Zmaić;035/438-010, 035/439-145, 035/409-667, 035/439-144, 035/438-018;035/439-145;tajnistvo@os-imestrovic-vrpolje.skole.hr, ured@os-imestrovic-vrpolje.skole.hr;os-imestrovic-vrpolje.skole.hr
